"﻿""VAR""","COU","YEA","Value","Flag Codes","Flags"
"ACATIMMU","AUS",1993,90,"E","Estimated value"
"ACATIMMU","AUS",1994,88,"E","Estimated value"
"ACATIMMU","AUS",1995,86,,
"ACATIMMU","AUS",1996,86,,
"ACATIMMU","AUS",1997,77,,
"ACATIMMU","AUS",1998,82,,
"ACATIMMU","AUS",1999,88.3,,
"ACATIMMU","AUS",2000,90,,
"ACATIMMU","AUS",2001,92,,
"ACATIMMU","AUS",2002,92,,
"ACATIMMU","AUS",2003,93,,
"ACATIMMU","AUS",2004,92,,
"ACATIMMU","AUS",2005,92,,
"ACATIMMU","AUS",2006,92,,
"ACATIMMU","AUS",2007,92,,
"ACATIMMU","AUS",2008,92,"E","Estimated value"
"ACATIMMU","AUS",2009,92.3,,
"ACATIMMU","AUS",2010,92,,
"ACATIMMU","AUS",2011,92,,
"ACATIMMU","AUS",2012,92.2,,
"ACATIMMU","AUS",2013,91.4,,
"ACATIMMU","AUS",2014,91.6,,
"ACATIMMU","AUS",2015,93.1,,
"ACATIMMU","AUS",2016,94.3,,
"ACATIMMU","AUS",2017,94.8,,
"ACATIMMU","AUS",2018,94.6,,
"ACATIMMU","AUS",2019,94.9,,
"ACATIMMU","AUS",2020,95.4,,
"ACATIMMU","AUS",2021,95,,
"ACATIMMU","AUS",2022,94.2,,
