"﻿""VAR""","YEA","Value","Flag Codes"
"ACATIMMU",1993,90,"E"
"ACATIMMU",1994,88,"E"
"ACATIMMU",1995,86,
"ACATIMMU",1996,86,
"ACATIMMU",1997,77,
"ACATIMMU",1998,82,
"ACATIMMU",1999,88.3,
"ACATIMMU",2000,90,
"ACATIMMU",2001,92,
"ACATIMMU",2002,92,
"ACATIMMU",2003,93,
"ACATIMMU",2004,92,
"ACATIMMU",2005,92,
"ACATIMMU",2006,92,
"ACATIMMU",2007,92,
"ACATIMMU",2008,92,"E"
"ACATIMMU",2009,92.3,
"ACATIMMU",2010,92,
"ACATIMMU",2011,92,
"ACATIMMU",2012,92.2,
"ACATIMMU",2013,91.4,
"ACATIMMU",2014,91.6,
"ACATIMMU",2015,93.1,
"ACATIMMU",2016,94.3,
"ACATIMMU",2017,94.8,
"ACATIMMU",2018,94.6,
"ACATIMMU",2019,94.9,
"ACATIMMU",2020,95.4,
"ACATIMMU",2021,95,
"ACATIMMU",2022,94.2,
