"﻿VAR","YEA","Value"
"COMDIPER",1993,25.6
"COMDIPER",1994,30.7
"COMDIPER",1995,23.3
"COMDIPER",1996,25
"COMDIPER",1997,58.6
"COMDIPER",1998,30.5
"COMDIPER",1999,23.2
"COMDIPER",2000,31.5
"COMDIPER",2001,49.4
"COMDIPER",2002,28.6
"COMDIPER",2003,25.8
"COMDIPER",2004,43.8
"COMDIPER",2005,55.3
"COMDIPER",2006,47.7
"COMDIPER",2007,23.3
"COMDIPER",2008,67.3
"COMDIPER",2009,139.2
"COMDIPER",2010,158.1
"COMDIPER",2011,173.5
"COMDIPER",2012,106
"COMDIPER",2013,53.5
"COMDIPER",2014,50.7
"COMDIPER",2015,94.8
"COMDIPER",2016,83.2
"COMDIPER",2017,49.7
"COMDIPER",2018,50.4
"COMDIPER",2019,47.4
"COMDIPER",2020,13.5
"COMDIPER",2021,2.1
"COMDIPER",2022,1.8
