"﻿""VAR""","COU","YEA","Value","Flag Codes","Flags"
"ACATHEPB","AUS",2001,94,,
"ACATHEPB","AUS",2002,95,,
"ACATHEPB","AUS",2003,95,,
"ACATHEPB","AUS",2004,95,,
"ACATHEPB","AUS",2005,95,,
"ACATHEPB","AUS",2006,95,,
"ACATHEPB","AUS",2007,94,,
"ACATHEPB","AUS",2008,94,"E","Estimated value"
"ACATHEPB","AUS",2009,94,,
"ACATHEPB","AUS",2010,91.6,,
"ACATHEPB","AUS",2011,91.6,,
"ACATHEPB","AUS",2012,91.8,,
"ACATHEPB","AUS",2013,91,,
"ACATHEPB","AUS",2014,91.2,,
"ACATHEPB","AUS",2015,92.8,,
"ACATHEPB","AUS",2016,94.2,,
"ACATHEPB","AUS",2017,94.7,,
"ACATHEPB","AUS",2018,94.5,,
"ACATHEPB","AUS",2019,94.9,,
"ACATHEPB","AUS",2020,95.3,,
"ACATHEPB","AUS",2021,95,,
"ACATHEPB","AUS",2022,94.3,,
