"VAR","YEA","Value"
"COMDIMEA",1993,26.5
"COMDIMEA",1994,26.9
"COMDIMEA",1995,6.6
"COMDIMEA",1996,2.6
"COMDIMEA",1997,4.5
"COMDIMEA",1998,1.5
"COMDIMEA",1999,1.3
"COMDIMEA",2000,0.6
"COMDIMEA",2001,0.7
"COMDIMEA",2002,0.2
"COMDIMEA",2003,0.5
"COMDIMEA",2004,0.2
"COMDIMEA",2005,0
"COMDIMEA",2006,0.6
"COMDIMEA",2007,0.1
"COMDIMEA",2008,0.3
"COMDIMEA",2009,0.5
"COMDIMEA",2010,0.3
"COMDIMEA",2011,0.9
"COMDIMEA",2012,0.9
"COMDIMEA",2013,0.7
"COMDIMEA",2014,1.4
"COMDIMEA",2015,0.3
"COMDIMEA",2016,0.4
"COMDIMEA",2017,0.3
"COMDIMEA",2018,0.4
"COMDIMEA",2019,1.1
"COMDIMEA",2020,0.1
"COMDIMEA",2021,0
"COMDIMEA",2022,0
